 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  H,  Z =   1,  atomic weight = 1.00790E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 1.07281E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  1
 #
 # Total elastic cross section = 1.10035E-20 cm**2 = 3.92943E-04 a0**2
 # 1st transport cross section = 9.95317E-26 cm**2 = 3.55434E-09 a0**2
 # 2nd transport cross section = 2.87000E-25 cm**2 = 1.02489E-08 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  3.500E+00  9.32601E-04  3.46000E-22  1.23559E-05  0.00000E+00  2.0E-04
  3.600E+00  9.86636E-04  3.09134E-22  1.10394E-05  0.00000E+00  8.6E-05
  3.700E+00  1.04219E-03  2.77052E-22  9.89370E-06  0.00000E+00  4.7E-05
  3.800E+00  1.09927E-03  2.49024E-22  8.89283E-06  0.00000E+00  1.4E-04
  3.900E+00  1.15786E-03  2.24453E-22  8.01537E-06  0.00000E+00  1.9E-04
  4.000E+00  1.21797E-03  2.02839E-22  7.24352E-06  0.00000E+00  1.8E-04
  4.100E+00  1.27961E-03  1.83765E-22  6.56235E-06  0.00000E+00  1.3E-04
  4.200E+00  1.34276E-03  1.66881E-22  5.95942E-06  0.00000E+00  4.8E-05
  4.300E+00  1.40743E-03  1.51892E-22  5.42415E-06  0.00000E+00  4.4E-05
  4.400E+00  1.47362E-03  1.38548E-22  4.94766E-06  0.00000E+00  1.1E-04
  4.500E+00  1.54133E-03  1.26639E-22  4.52235E-06  0.00000E+00  1.3E-04
  4.600E+00  1.61056E-03  1.15981E-22  4.14176E-06  0.00000E+00  1.2E-04
  4.700E+00  1.68131E-03  1.06422E-22  3.80039E-06  0.00000E+00  8.4E-05
  4.800E+00  1.75357E-03  9.78270E-23  3.49347E-06  0.00000E+00  2.7E-05
  4.900E+00  1.82735E-03  9.00827E-23  3.21691E-06  0.00000E+00  4.0E-05
  5.000E+00  1.90265E-03  8.30896E-23  2.96718E-06  0.00000E+00  8.2E-05
  5.100E+00  1.97947E-03  7.67621E-23  2.74122E-06  0.00000E+00  9.8E-05
  5.200E+00  2.05780E-03  7.10255E-23  2.53637E-06  0.00000E+00  8.9E-05
  5.300E+00  2.13765E-03  6.58148E-23  2.35029E-06  0.00000E+00  5.8E-05
  5.400E+00  2.21902E-03  6.10734E-23  2.18097E-06  0.00000E+00  1.4E-05
  5.500E+00  2.30190E-03  5.67512E-23  2.02662E-06  0.00000E+00  3.5E-05
  5.600E+00  2.38630E-03  5.28047E-23  1.88569E-06  0.00000E+00  6.5E-05
