 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Fe,  Z =  26,  atomic weight = 5.58450E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.08989E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 26
 #
 # Total elastic cross section = 1.98982E-18 cm**2 = 7.10577E-02 a0**2
 # 1st transport cross section = 5.85045E-23 cm**2 = 2.08923E-06 a0**2
 # 2nd transport cross section = 1.65644E-22 cm**2 = 5.91526E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  6.700E+00  3.41468E-03  1.78821E-20  6.38583E-04  0.00000E+00  1.0E-07
  6.800E+00  3.51725E-03  1.68648E-20  6.02252E-04  0.00000E+00  1.0E-07
  6.900E+00  3.62133E-03  1.59189E-20  5.68473E-04  0.00000E+00  1.0E-07
  7.000E+00  3.72692E-03  1.50385E-20  5.37034E-04  0.00000E+00  1.0E-07
  7.100E+00  3.83403E-03  1.42183E-20  5.07744E-04  0.00000E+00  1.0E-07
  7.200E+00  3.94265E-03  1.34533E-20  4.80426E-04  0.00000E+00  1.0E-07
  7.300E+00  4.05278E-03  1.27392E-20  4.54925E-04  0.00000E+00  1.0E-07
  7.400E+00  4.16442E-03  1.20720E-20  4.31098E-04  0.00000E+00  1.0E-07
  7.500E+00  4.27757E-03  1.14479E-20  4.08813E-04  0.00000E+00  1.0E-07
  7.600E+00  4.39223E-03  1.08638E-20  3.87953E-04  0.00000E+00  1.0E-07
  7.700E+00  4.50840E-03  1.03165E-20  3.68410E-04  0.00000E+00  1.0E-07
  7.800E+00  4.62608E-03  9.80337E-21  3.50085E-04  0.00000E+00  1.0E-07
  7.900E+00  4.74527E-03  9.32181E-21  3.32888E-04  0.00000E+00  1.0E-07
  8.000E+00  4.86597E-03  8.86953E-21  3.16737E-04  0.00000E+00  1.0E-07
  8.100E+00  4.98817E-03  8.44441E-21  3.01555E-04  0.00000E+00  1.0E-07
  8.200E+00  5.11188E-03  8.04452E-21  2.87275E-04  0.00000E+00  1.0E-07
  8.300E+00  5.23711E-03  7.66810E-21  2.73833E-04  0.00000E+00  1.0E-07
  8.400E+00  5.36383E-03  7.31349E-21  2.61169E-04  0.00000E+00  1.0E-07
  8.500E+00  5.49207E-03  6.97919E-21  2.49232E-04  0.00000E+00  1.0E-07
  8.600E+00  5.62181E-03  6.66384E-21  2.37970E-04  0.00000E+00  1.0E-07
  8.700E+00  5.75306E-03  6.36615E-21  2.27339E-04  0.00000E+00  1.0E-07
  8.800E+00  5.88581E-03  6.08495E-21  2.17297E-04  0.00000E+00  1.0E-07
  8.900E+00  6.02007E-03  5.81914E-21  2.07805E-04  0.00000E+00  1.0E-07
  9.000E+00  6.15583E-03  5.56774E-21  1.98827E-04  0.00000E+00  1.0E-07
  9.100E+00  6.29310E-03  5.32981E-21  1.90331E-04  0.00000E+00  1.0E-07
  9.200E+00  6.43187E-03  5.10449E-21  1.82285E-04  0.00000E+00  1.0E-07
  9.300E+00  6.57214E-03  4.89099E-21  1.74660E-04  0.00000E+00  1.0E-07
  9.400E+00  6.71392E-03  4.68857E-21  1.67432E-04  0.00000E+00  1.0E-07
  9.500E+00  6.85720E-03  4.49655E-21  1.60575E-04  0.00000E+00  1.0E-07
  9.600E+00  7.00198E-03  4.31429E-21  1.54066E-04  0.00000E+00  1.0E-07
  9.700E+00  7.14827E-03  4.14121E-21  1.47885E-04  0.00000E+00  1.0E-07
  9.800E+00  7.29605E-03  3.97674E-21  1.42012E-04  0.00000E+00  1.0E-07
