 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: He,  Z =   2,  atomic weight = 4.00260E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 1.69889E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  2
 #
 # Total elastic cross section = 1.66994E-20 cm**2 = 5.96348E-04 a0**2
 # 1st transport cross section = 3.70057E-25 cm**2 = 1.32150E-08 a0**2
 # 2nd transport cross section = 1.06344E-24 cm**2 = 3.79763E-08 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  7.200E+00  3.94265E-03  7.73893E-23  2.76362E-06  0.00000E+00  5.7E-06
  7.300E+00  4.05278E-03  7.32349E-23  2.61526E-06  0.00000E+00  5.7E-07
  7.400E+00  4.16442E-03  6.93556E-23  2.47673E-06  0.00000E+00  5.3E-06
  7.500E+00  4.27757E-03  6.57308E-23  2.34729E-06  0.00000E+00  8.4E-06
  7.600E+00  4.39223E-03  6.23380E-23  2.22613E-06  0.00000E+00  9.1E-06
  7.700E+00  4.50840E-03  5.91632E-23  2.11275E-06  0.00000E+00  7.8E-06
  7.800E+00  4.62608E-03  5.61863E-23  2.00645E-06  0.00000E+00  4.6E-06
  7.900E+00  4.74527E-03  5.33951E-23  1.90677E-06  0.00000E+00  6.4E-07
  8.000E+00  4.86597E-03  5.07751E-23  1.81321E-06  0.00000E+00  4.6E-06
  8.100E+00  4.98817E-03  4.83131E-23  1.72529E-06  0.00000E+00  7.0E-06
  8.200E+00  5.11188E-03  4.59996E-23  1.64268E-06  0.00000E+00  7.5E-06
  8.300E+00  5.23711E-03  4.38218E-23  1.56490E-06  0.00000E+00  6.4E-06
  8.400E+00  5.36383E-03  4.17722E-23  1.49171E-06  0.00000E+00  3.7E-06
  8.500E+00  5.49207E-03  3.98405E-23  1.42273E-06  0.00000E+00  7.2E-07
  8.600E+00  5.62181E-03  3.80192E-23  1.35769E-06  0.00000E+00  4.0E-06
  8.700E+00  5.75306E-03  3.63012E-23  1.29634E-06  0.00000E+00  6.0E-06
  8.800E+00  5.88581E-03  3.46784E-23  1.23839E-06  0.00000E+00  6.3E-06
  8.900E+00  6.02007E-03  3.31460E-23  1.18367E-06  0.00000E+00  5.4E-06
  9.000E+00  6.15583E-03  3.16967E-23  1.13191E-06  0.00000E+00  3.0E-06
  9.100E+00  6.29310E-03  3.03261E-23  1.08296E-06  0.00000E+00  7.6E-07
  9.200E+00  6.43187E-03  2.90287E-23  1.03663E-06  0.00000E+00  3.5E-06
  9.300E+00  6.57214E-03  2.77997E-23  9.92744E-07  0.00000E+00  5.1E-06
  9.400E+00  6.71392E-03  2.66354E-23  9.51168E-07  0.00000E+00  5.4E-06
  9.500E+00  6.85720E-03  2.55310E-23  9.11728E-07  0.00000E+00  4.5E-06
  9.600E+00  7.00198E-03  2.44836E-23  8.74324E-07  0.00000E+00  2.5E-06
  9.700E+00  7.14827E-03  2.34891E-23  8.38811E-07  0.00000E+00  7.8E-07
  9.800E+00  7.29605E-03  2.25446E-23  8.05082E-07  0.00000E+00  3.1E-06
